Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,
阿坝,阿坝,Yuechi,阿坝,,,,,,,,,,,
哀牢,哀牢,gongyu,哀牢,,,,,,,,,,,
瑷珲,瑷珲,sishuiguan,瑷珲,,,,,,,,,,,
安城镇,安城镇,huanzhou,安城镇,,,,,,,,,,,
安丰,安丰,huainan,安丰,,,,,,,,,,,
安吉,安吉,huaiyou,安吉,,,,,,,,,,,
安居,安居,guanbiliuhui,安居,,,,,,,,,,,
安陆,安陆,huaiji,安陆,,,,,,,,,,,
安宁,安宁,huanwu,安宁,,,,,,,,,,,
安平,安平,huanglongfu,安平,,,,,,,,,,,
安仁,安仁,Huaiyang,安仁,,,,,,,,,,,
安溪,安溪,huangze,安溪,,,,,,,,,,,
安禧,安禧,Huichang,安禧,,,,,,,,,,,
安县,安县,huaiyin,安县,,,,,,,,,,,
安寻,安寻,huanxiangxiang,安寻,,,,,,,,,,,
安邑,安邑,Huidong,安邑,,,,,,,,,,,
鞍钢,鞍钢,changningfu,鞍钢,,,,,,,,,,,
岸城,岸城,jincheng,岸城,,,,,,,,,,,
敖,敖,lingshou,敖,,,,,,,,,,,
隞,隞,Yuncheng,隞,,,,,,,,,,,
八桂,八桂,daxia,八桂,,,,,,,,,,,
八荒,八荒,Dayan,八荒,,,,,,,,,,,
巴马,巴马,Jingxian,巴马,,,,,,,,,,,
巴塘,巴塘,jinyang,巴塘,,,,,,,,,,,
巴州,巴州,Jinyun,巴州,,,,,,,,,,,
白帝城,白帝城,Songxian,白帝城,,,,,,,,,,,
白马浪,白马浪,Suixian,白马浪,,,,,,,,,,,
白银,白银,Subei,白银,,,,,,,,,,,
白玉,白玉,suzhou,白玉,,,,,,,,,,,
白云,白云,Songjian,白云,,,,,,,,,,,
百灶,百灶,Suiyang,百灶,,,,,,,,,,,
板野,板野,Luoyuan,板野,,,,,,,,,,,
宝庆,宝庆,ji,宝庆,,,,,,,,,,,
宝泉岭,宝泉岭,jijiazhuang,宝泉岭,,,,,,,,,,,
北安,北安,Dingnan,北安,,,,,,,,,,,
北宸关,北宸关,Dingtao,北宸关,,,,,,,,,,,
北埭,北埭,dingbianzhen,北埭,,,,,,,,,,,
北海,北海,dinxi,北海,,,,,,,,,,,
北京,北京,Ding'an,北京,,,,,,,,,,,
北灵,北灵,dingyang,北灵,,,,,,,,,,,
北宁府,北宁府,Dinglu,北宁府,,,,,,,,,,,
北山,北山,dingxi,北山,,,,,,,,,,,
比苏,比苏,nanzhao,比苏,,,,,,,,,,,
庇,庇,lanxian,庇,,,,,,,,,,,
汴梁,汴梁,Pinghe,汴梁,,,,,,,,,,,
滨西,滨西,Santai,滨西,,,,,,,,,,,
豳邑,豳邑,Xupu,豳邑,,,,,,,,,,,
波刺斯蜜,波刺斯蜜,puning,波刺斯蜜,,,,,,,,,,,
伯力,伯力,cuili,伯力,,,,,,,,,,,
亳邑,亳邑,chengdu,亳邑,,,,,,,,,,,
博白,博白,fengyang,博白,,,,,,,,,,,
博昌,博昌,Fengqiu,博昌,,,,,,,,,,,
不周,不周,anyi,不周,,,,,,,,,,,
布拖,布拖,jingnan,布拖,,,,,,,,,,,
仓平,仓平,chishui,仓平,,,,,,,,,,,
仓山,仓山,chibi,仓山,,,,,,,,,,,
苍南,苍南,xigu,苍南,,,,,,,,,,,
苍梧,苍梧,xihe,苍梧,,,,,,,,,,,
苍溪,苍溪,xiqi,苍溪,,,,,,,,,,,
沧州,沧州,Pingwu,沧州,,,,,,,,,,,
曹县,曹县,Luhun,曹县,,,,,,,,,,,
昌五,昌五,Longquan,昌五,,,,,,,,,,,
昌邑,昌邑,longquanyi,昌邑,,,,,,,,,,,
常山,常山,jingde,常山,,,,,,,,,,,
