Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,
巴,巴,Ba,巴,,,,,巴,,,,,,
百濮,百濮,Baipu,百濮,,,,,百濮,,,,,,
百越,百越,BaiYue,百越,,,,,百越,,,,,,
北楚,北楚,Beichu,北楚,,,,,北楚,,,,,,
北羌,北羌,Beiqiang,北羌,,,,,北羌,,,,,,
北唐,北唐,Beitang,北唐,,,,,北唐,,,,,,
北赵,北赵,Beizhao,北赵,,,,,北趙,,,,,,
卞,卞,Bian,卞,,,,,卞,,,,,,
蔡,蔡,Cai,蔡,,,,,蔡,,,,,,
曹,曹,Cao,曹,,,,,曹,,,,,,
柴,柴,Chai,柴,,,,,柴,,,,,,
车师,车师,Cheshi,车师,,,,,車師,,,,,,
陈,陈,Chen,陈,,,,,陳,,,,,,
郕,郕,Cheng,郕,,,,,郕,,,,,,
楚,楚,Chu,楚,,,,,楚,,,,,,
楚韩,楚韩,Chuhan,楚韩,,,,,楚韓,,,,,,
淳于,淳于,ChunYu,淳于,,,,,淳于,,,,,,
大汉,大汉,Dahan,大汉,,,,,大漢,,,,,,
大明,大明,Daming,大明,,,,,大明,,,,,,
大秦,大秦,Daqin,大秦,,,,,大秦,,,,,,
大宋,大宋,Dasong,大宋,,,,,大宋,,,,,,
邓,邓,Deng,邓,,,,,鄧,,,,,,
东韩,东韩,Donghan,东韩,,,,,東韓,,,,,,
东牟,东牟,Dongmou,东牟,,,,,東牟,,,,,,
东齐,东齐,Dongqi,东齐,,,,,東斉,,,,,,
东齐,东齐,Qidong,东齐,,,,,斉東,,,,,,
东唐,东唐,Dongtang,东唐,,,,,東唐,,,,,,
东燕,东燕,Dongyan,东燕,,,,,東燕,,,,,,
杜,杜,Du,杜,,,,,杜,,,,,,
顿,顿,Dun,顿,,,,,頓,,,,,,
仿宿,仿宿,Fangxiu,仿宿,,,,,仿宿,,,,,,
费,费,Fei,费,,,,,費,,,,,,
丰,丰,Feng,丰,,,,,豊,,,,,,
伽,伽,Qie,伽,,,,,伽,,,,,,
皋落,皋落,Gaoluo,皋落,,,,,皋落,,,,,,
孤竹,孤竹,Guzhu,孤竹,,,,,孤竹,,,,,,
姑墨,姑墨,Gumo,姑墨,,,,,姑墨,,,,,,
谷,谷,Gu,谷,,,,,谷,,,,,,
蛊毒,蛊毒,Gudu,蛊毒,,,,,蠱毒,,,,,,
顾,顾,Gu,顾,,,,,願,,,,,,
管,管,Guan,管,,,,,管,,,,,,
郭,郭,Guo,郭,,,,,郭,,,,,,
韩,韩,Han,韩,,,,,韓,,,,,,
寒武,寒武,Hanwu,寒武,,,,,寒武,,,,,,
鸿,鸿,Hong,鸿,,,,,鴻,,,,,,
后唐,后唐,Houtang,后唐,,,,,後唐,,,,,,
狐胡,狐胡,Huhu,狐胡,,,,,狐胡,,,,,,
胡,胡,Hu,胡,,,,,胡,,,,,,
扈,扈,Hu,扈,,,,,扈,,,,,,
滑,滑,Hua,滑,,,,,滑,,,,,,
淮夷,淮夷,HuaiYi,淮夷,,,,,淮夷,,,,,,
黄,黄,Huang,黄,,,,,黄,,,,,,
霍,霍,Huo,霍,,,,,霍,,,,,,
基,基,Ji,基,,,,,基,,,,,,
极,极,Ji,极,,,,,极,,,,,,
纪,纪,Ji,纪,,,,,紀,,,,,,
江,江,Jiang,江,,,,,江,,,,,,
绛,绛,Jiang,绛,,,,,絳,,,,,,
晋,晋,Jin,晋,,,,,晋,,,,,,
晋楚,晋楚,Jinchu,晋楚,,,,,晋楚,,,,,,
