Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,
Yastuoton,亚斯图顿,Yastuoton,亞斯圖頓,Ястуотон,Yastuoton,Yastuoton,Yastuoton,ヤストウトン,Yastuoton,Yastuoton,Yastuoton,Yastuoton,야스투오톤,
Jathuinga,加图因加,Jathuinga,加圖因加,Жатуинга,Jathuinga,Jathuinga,Jathuinga,ジャスインガ,Jathuinga,Jathuinga,Jathuinga,Jathuinga,자투잉가,
Suplon,苏普伦,Suplon,蘇普倫,Суплон,Suplon,Suplon,Suplon,スプロン,Suplon,Suplon,Suplon,Suplon,수플론,
Paglait,帕格莱特,Paglait,帕格萊特,Паглаит,Paglait,Paglait,Paglait,パグライト,Paglait,Paglait,Paglait,Paglait,파글라이트,
Strejan,斯特雷杰,Strejan,斯特雷傑,Стрэджан,Strejan,Strejan,Strejan,ストレジャン,Strejan,Strejan,Strejan,Strejan,스트레잔,
Stroador,斯特罗阿德,Stroador,斯特羅阿德,Строадор,Stroador,Stroador,Stroador,ストロアドール,Stroador,Stroador,Stroador,Stroador,스트로아도르,
Uchos,尤科斯,Uchos,尤科斯,Учос,Uchos,Uchos,Uchos,ウチョス,Uchos,Uchos,Uchos,Uchos,우초스,
Askal,阿斯卡,Askal,阿斯卡,Аскал,Askal,Askal,Askal,アスカル,Askal,Askal,Askal,Askal,아스칼,
Spuep Wheau,斯普伊普惠欧,Spuep Wheau,斯普伊普惠歐,Спьюэп Уиоу,Spuep Wheau,Spuep Wheau,Spuep Wheau,スプエプ ウィーオ,Spuep Wheau,Spuep Wheau,Spuep Wheau,Spuep Wheau,스퓌에프 위오,
Snuet Snea,斯努特斯涅,Snuet Snea,斯努特斯涅,Снюэт Снеа,Snuet Snea,Snuet Snea,Snuet Snea,スニュート スニア,Snuet Snea,Snuet Snea,Snuet Snea,Snuet Snea,스뉴트 스니아,
Kusmaenia,库斯玛尼亚,Kusmaenia,庫斯瑪尼亞,Кусмения,Kusmaenia,Kusmaenia,Kusmaenia,クスマエニア,Kusmaenia,Kusmaenia,Kusmaenia,Kusmaenia,쿠스마에니아,
Eplaoca,埃普劳卡,Eplaoca,埃普勞卡,Эплаока,Eplaoca,Eplaoca,Eplaoca,エプラオカ,Eplaoca,Eplaoca,Eplaoca,Eplaoca,에플라오카,
Custaria,库斯塔里亚,Custaria,庫斯塔里亞,Кустария,Custaria,Custaria,Custaria,カスタリア,Custaria,Custaria,Custaria,Custaria,쿠스타리아,
Feska,费斯卡,Feska,費斯卡,Феска,Feska,Feska,Feska,フェスカ,Feska,Feska,Feska,Feska,페스카,
Floaque,弗洛阿克,Floaque,弗洛阿克,Флоак,Floaque,Floaque,Floaque,フロアクエ,Floaque,Floaque,Floaque,Floaque,플로아크,
Thuales,图阿莱斯,Thuales,圖阿萊斯,Туалес,Thuales,Thuales,Thuales,トワレス,Thuales,Thuales,Thuales,Thuales,투알레스,
Escistan,埃斯西斯坦,Escistan,埃斯西斯坦,Эскистан,Escistan,Escistan,Escistan,エスキスタン,Escistan,Escistan,Escistan,Escistan,에스키스탄,
Ustye,乌斯特耶,Ustye,烏斯特耶,Устье,Ustye,Ustye,Ustye,ウスティエ,Ustye,Ustye,Ustye,Ustye,우스티에,
Skoim Fral,斯科因弗拉尔,Skoim Fral,斯科因弗拉爾,Скоим Фрал,Skoim Fral,Skoim Fral,Skoim Fral,スコイム フラル,Skoim Fral,Skoim Fral,Skoim Fral,Skoim Fral,스코임 프랄,
Asmasal,阿斯马萨,Asmasal,阿斯馬薩,Асмасал,Asmasal,Asmasal,Asmasal,アスマサル,Asmasal,Asmasal,Asmasal,Asmasal,아스마살,
Sopreau,索普罗,Sopreau,索普羅,Сопро,Sopreau,Sopreau,Sopreau,ソプレウ,Sopreau,Sopreau,Sopreau,Sopreau,소프레우,
Nasten,纳斯滕,Nasten,納斯滕,Настен,Nasten,Nasten,Nasten,ナステン,Nasten,Nasten,Nasten,Nasten,나스텐,
Breynia,布雷尼亚,Breynia,布雷尼亞,Брейния,Breynia,Breynia,Breynia,ブレイニア,Breynia,Breynia,Breynia,Breynia,브레이나,
Flaotan,弗劳坦,Flaotan,弗勞坦,Флаотан,Flaotan,Flaotan,Flaotan,フラオタン,Flaotan,Flaotan,Flaotan,Flaotan,플라우탄,
Uchistan,尤西斯坦,Uchistan,尤西斯坦,Учистан,Uchistan,Uchistan,Uchistan,ウチスタン,Uchistan,Uchistan,Uchistan,Uchistan,우치스탄,
Aspea,阿斯佩,Aspea,阿斯佩,Аспея,Aspea,Aspea,Aspea,アスピア,Aspea,Aspea,Aspea,Aspea,아스페아,
Shoek Clal,舍克克拉尔,Shoek Clal,舍克克拉爾,Шоек Клал,Shoek Clal,Shoek Clal,Shoek Clal,ショーク クラル,Shoek Clal,Shoek Clal,Shoek Clal,Shoek Clal,쇼에크 클랄,
Snuej Snea,斯努杰斯涅,Snuej Snea,斯努傑斯涅,Снюедж Снеа,Snuej Snea,Snuej Snea,Snuej Snea,スニュージ スニア,Snuej Snea,Snuej Snea,Snuej Snea,Snuej Snea,스뉴에즈 스니아,
Quorilia,阔里利亚,Quorilia,闊里利亞,Кворилия,Quorilia,Quorilia,Quorilia,クオリリア,Quorilia,Quorilia,Quorilia,Quorilia,쿠오릴리아,
