Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,
Germany,德意志,Germany,德意志,Германия,Alemania,Alemanha,Deutschland,ドイツ,Allemagne,Niemcy,Alemania,Alemanha,독일,
France,法兰西,France,法蘭西,Франция,Francia,França,Frankreich,フランス,France,Francja,Francia,França,프랑스,
England,英格兰,England,英格蘭,Англия,Inglaterra,Inglaterra,England,イングランド,Angleterre,Anglia,Inglaterra,Inglaterra,잉글랜드,
Italy,意大利,Italy,意大利,Италия,Italia,Itália,Italien,イタリア,Italie,Włochy,Italia,Itália,이탈리아,
Poland,波兰,Poland,波蘭,Польша,Polonia,Polônia,Polen,ポーランド,Pologne,Polska,Polonia,Polónia,폴란드,
Soviet,苏维埃,Soviet,蘇維埃,Советский,Soviético,Soviético,Sowjet,ソビエト,Soviétique,Sowiecki,Soviético,Soviético,소련,
Denmark,丹麦,Denmark,丹麥,Дания,Dinamarca,Dinamarca,Dänemark,デンマーク,Danemark,Dania,Dinamarca,Dinamarca,덴마크,
Norway,挪威,Norway,挪威,Норвегия,Noruega,Noruega,Norwegen,ノルウェー,Norvège,Norwegia,Noruega,Noruega,노르웨이,
Netherlands,荷兰,Netherlands,荷蘭,Нидерланды,Países Bajos,Países Baixos,Niederlande,オランダ,Pays-Bas,Holandia,Países Bajos,Países Baixos,네덜란드,
Belgium,比利时,Belgium,比利時,Бельгия,Bélgica,Bélgica,Belgien,ベルギー,Belgique,Belgia,Bélgica,Bélgica,벨기에,
Luxembourg,卢森堡,Luxembourg,盧森堡,Люксембург,Luxemburgo,Luxemburgo,Luxemburg,ルクセンブルク,Luxembourg,Luksemburg,Luxemburgo,Luxemburgo,룩셈부르크,
Greece,希腊,Greece,希臘,Греция,Grecia,Grécia,Griechenland,ギリシャ,Grèce,Grecja,Grecia,Grécia,그리스,
Yugoslavia,南斯拉夫,Yugoslavia,南斯拉夫,Югославия,Yugoslavia,Iugoslávia,Jugoslawien,ユーゴスラビア,Yougoslavie,Jugosławia,Yugoslavia,Iugoslávia,유고슬라비아,
Romania,罗马尼亚,Romania,羅馬尼亞,Румыния,Rumania,Romênia,Rumänien,ルーマニア,Roumanie,Rumunia,Rumania,Romênia,루마니아,
Bulgaria,保加利亚,Bulgaria,保加利亞,Болгария,Bulgaria,Bulgária,Bulgarien,ブルガリア,Bulgarie,Bułgaria,Bulgaria,Bulgária,불가리아,
Finland,芬兰,Finland,芬蘭,Финляндия,Finlandia,Finlândia,Finnland,フィンランド,Finlande,Finlandia,Finlandia,Finlândia,핀란드,
Hungary,匈牙利,Hungary,匈牙利,Венгрия,Hungría,Hungria,Ungarn,ハンガリー,Hongrie,Węgry,Hungría,Hungria,헝가리,
Turkey,土耳其,Turkey,土耳其,Турция,Turquía,Turquia,Türkei,トルコ,Turquie,Turcja,Turquía,Turquia,터키,
Egypt,埃及,Egypt,埃及,Египет,Egipto,Egito,Ägypten,エジプト,Égypte,Egipt,Egipto,Egito,이집트,
Libya,利比亚,Libya,利比亞,Ливия,Libia,Líbia,Libyen,リビア,Libye,Libia,Libia,Líbia,리비아,
Algeria,阿尔及利亚,Algeria,阿爾及利亞,Алжир,Argelia,Argélia,Algerien,アルジェリア,Algérie,Algieria,Argelia,Argélia,알제리,
Morocco,摩洛哥,Morocco,摩洛哥,Марокко,Marruecos,Marrocos,Marokko,モロッコ,Maroc,Maroko,Marruecos,Marrocos,모로코,
Tunisia,突尼斯,Tunisia,突尼斯,Тунис,Túnez,Tunísia,Tunesien,チュニジア,Tunisie,Tunezja,Túnez,Tunísia,튀니지,
Syria,叙利亚,Syria,敘利亞,Сирия,Siria,Síria,Syrien,シリア,Syrie,Syria,Siria,Síria,시리아,
Lebanon,黎巴嫩,Lebanon,黎巴嫩,Ливан,Líbano,Líbano,Libanon,レバノン,Liban,Liban,Líbano,Líbano,레바논,
Iraq,伊拉克,Iraq,伊拉克,Ирак,Irak,Iraque,Irak,イラク,Irak,Irak,Irak,Iraque,이라크,
Iran,伊朗,Iran,伊朗,Иран,Irán,Irã,Iran,イラン,Iran,Iran,Irán,Irã,이란,
Saudi,沙特,Saudi,沙特,Саудовская,Arabia Saudí,Arábia Saudita,Saudi-Arabien,サウジアラビア,Arabie Saoudite,Arabia Saudyjska,Arabia Saudí,Arábia Saudita,사우디,
Albania,阿尔巴尼亚,Albania,阿爾巴尼亞,Албания,Albania,Albânia,Albanien,アルバニア,Albanie,Albania,Albania,Albânia,알바니아,
China,中华,China,中華,Китай,China,China,China,中国,Chine,Chiny,China,China,중국,
Japan,日本,Japan,日本,Япония,Japón,Japão,Japan,日本,Japon,Japonia,Japón,Japão,일본,
Korea,朝鲜,Korea,朝鮮,Корея,Corea,Coreia,Korea,朝鮮,Corée,Korea,Corea,Coreia,한국,
Philippines,菲律宾,Philippines,菲律賓,Филиппины,Filipinas,Filipinas,Philippinen,フィリピン,Philippines,Filipiny,Filipinas,Filipinas,필리핀,
America,美利坚,America,美利堅,Америка,América,América,Amerika,アメリカ,Amérique,Ameryka,América,América,미국,
Canada,加拿大,Canada,加拿大,Канада,Canadá,Canadá,Kanada,カナダ,Canada,Kanada,Canadá,Canadá,캐나다,
Mexico,墨西哥,Mexico,墨西哥,Мексика,México,México,Mexiko,メキシコ,Mexique,Meksyk,México,México,멕시코,
Brazil,巴西,Brazil,巴西,Бразилия,Brasil,Brasil,Brasilien,ブラジル,Brésil,Brazylia,Brasil,Brasil,브라질,
Argentina,阿根廷,Argentina,阿根廷,Аргентина,Argentina,Argentina,Argentinien,アルゼンチン,Argentine,Argentyna,Argentina,Argentina,아르헨티나,
