Key,Chinese,TraditionalChinese,English,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
AuroranFaithName,奥罗拉信仰,奧羅拉信仰,Auroran Faith,Вера Авроры,Fe Auroriana,Fé Auroriana,Aurorischer Glaube,オーロラ信仰,Foi Auroréenne,Wiara Aurorańska,Fe Auroriana,Fé Auroriana,아몬 라 신앙,Amon Ra İnancı
AuroranFaithDescription,崇拜太阳神奥罗拉。信徒每天黎明时祈祷。神庙建在高处以靠近太阳。这是一个以太阳崇拜为核心的古老信仰。,崇拜太陽神奧羅拉。信徒每天黎明時祈禱。神廟建在高處以靠近太陽。這是一個以太陽崇拜為核心的古老信仰。,Worship of the sun god Aurora. Followers pray at dawn daily. Temples built on heights to be closer to the sun. This is an ancient faith centered on sun worship.,"Поклонение богу солнца Авроре. Последователи молятся на рассвете ежедневно. Храмы построены на возвышенностях, чтобы быть ближе к солнцу. Это древняя вера, сосредоточенная на поклонении солнцу.",Adoración al dios sol Aurora. Los seguidores rezan al amanecer diariamente. Templos construidos en alturas para estar más cerca del sol. Esta es una antigua fe centrada en la adoración del sol.,Adoração ao deus sol Aurora. Seguidores rezam ao amanhecer diariamente. Templos construídos em alturas para ficar mais perto do sol. Esta é uma fé antiga centrada na adoração do sol.,"Verehrung des Sonnengottes Aurora. Anhänger beten täglich bei Sonnenaufgang. Tempel auf Anhöhen gebaut, um der Sonne näher zu sein. Dies ist ein alter Glaube, der sich auf die Sonnenanbetung konzentriert.",太陽神オーロラの崇拝。信者は毎日夜明けに祈る。太陽に近づくために高所に寺院を建てる。これは太陽崇拝を中心とした古代の信仰である。,Culte du dieu soleil Aurora. Les fidèles prient à l'aube quotidiennement. Temples construits sur les hauteurs pour être plus proches du soleil. C'est une foi ancienne centrée sur l'adoration du soleil.,"Kult boga słońca Aurory. Wyznawcy modlą się codziennie o świcie. Świątynie budowane na wzniesieniach, aby być bliżej słońca. To starożytna wiara skupiona na kulcie słońca.",Adoración al dios sol Aurora. Los seguidores rezan al amanecer diariamente. Templos construidos en alturas para estar más cerca del sol. Esta es una antigua fe centrada en la adoración del sol.,Adoração ao deus sol Aurora. Seguidores rezam ao amanhecer diariamente. Templos construídos em alturas para ficar mais perto do sol. Esta é uma fé antiga centrada na adoração do sol.,태양의 신 아몬 라를 숭배합니다. 신자들은 매일 새벽에 기도합니다. 신전은 태양과 가까워지기 위해 높은 곳에 지어집니다. 이는 태양 숭배를 중심으로 하는 고대 신앙입니다.,"Güneş tanrısı Amon Ra'ya tapınma. İnananlar her gün şafakta dua eder. Tapınaklar güneşe yakın olmak için yüksek yerlere inşa edilir. Bu, güneş tapınmasını merkez alan eski bir inançtır."
AuroranFaithHolyBookName,太阳圣典,太陽聖典,The Solar Scriptures,Солнечные Писания,Las Escrituras Solares,As Escrituras Solares,Die Solaren Schriften,太陽の聖典,Les Écritures Solaires,Pisma Słoneczne,Las Escrituras Solares,As Escrituras Solares,태양의 서,Güneş Kitabı
AuroranFaithPractice1,黎明祈祷,黎明祈禱,Dawn prayers,Рассветные молитвы,Oraciones al amanecer,Orações ao amanhecer,Morgengebete,夜明けの祈り,Prières de l'aube,Modlitwy o świcie,Oraciones al amanecer,Orações ao amanhecer,새벽 기도,Şafak Duası
AuroranFaithPractice2,太阳节日,太陽節日,Sun festivals,Солнечные фестивали,Festivales del sol,Festivais do sol,Sonnenfeste,太陽祭,Festivals du soleil,Festiwale słońca,Festivales del sol,Festivais do sol,태양 축제,Güneş Festivali
AuroranFaithPractice3,高地建庙,高地建廟,Temple construction on high grounds,Строительство храмов на возвышенностях,Construcción de templos en lugares elevados,Construção de templos em terrenos elevados,Tempelbau auf Anhöhen,高地での寺院建設,Construction de temples sur les hauteurs,Budowa świątyń na wzniesieniach,Construcción de templos en lugares elevados,Construção de templos em terrenos elevados,고지대 신전,Yüksek Yer Tapınakları
IsendrilFaithName,伊森德里尔信仰,伊森德里爾信仰,Isendril Faith,Вера Исендрил,Fe Isendril,Fé Isendril,Isendril-Glaube,イセンドリル信仰,Foi Isendril,Wiara Isendril,Fe Isendril,Fé Isendril,스칸디나비아 신앙,İskandinav İnancı
IsendrilFaithDescription,信仰一位全能的创造神。有神圣经文和预言传统。包括斋戒期和日常祈祷仪式。这是一个强调一神信仰和严格教义的宗教。,信仰一位全能的創造神。有神聖經文和預言傳統。包括齋戒期和日常祈禱儀式。這是一個強調一神信仰和嚴格教義的宗教。,Belief in one omnipotent creator god. Has sacred texts and prophetic traditions. Includes fasting periods and daily prayer rituals. This is a religion emphasizing monotheism and strict doctrines.,"Вера в одного всемогущего бога-творца. Имеет священные тексты и пророческие традиции. Включает периоды поста и ежедневные молитвенные ритуалы. Это религия, подчеркивающая монотеизм и строгие доктрины.",Creencia en un dios creador omnipotente. Tiene textos sagrados y tradiciones proféticas. Incluye períodos de ayuno y rituales de oración diarios. Esta es una religión que enfatiza el monoteísmo y las doctrinas estrictas.,Crença em um deus criador onipotente. Possui textos sagrados e tradições proféticas. Inclui períodos de jejum e rituais de oração diários. Esta é uma religião que enfatiza o monoteísmo e doutrinas rígidas.,"Glaube an einen allmächtigen Schöpfergott. Hat heilige Texte und prophetische Traditionen. Beinhaltet Fastenzeiten und tägliche Gebetsrituale. Dies ist eine Religion, die den Monotheismus und strenge Doktrinen betont.",全能の創造神への信仰。聖なる経典と予言の伝統がある。断食期間と日々の祈りの儀式を含む。これは一神教と厳格な教義を強調する宗教である。,Croyance en un dieu créateur omnipotent. Possède des textes sacrés et des traditions prophétiques. Comprend des périodes de jeûne et des rituels de prière quotidiens. C'est une religion qui met l'accent sur le monothéisme et des doctrines strictes.,Wiara w jednego wszechmocnego boga stwórcy. Posiada święte teksty i tradycje prorockie. Obejmuje okresy postu i codzienne rytuały modlitewne. To religia podkreślająca monoteizm i ścisłe doktryny.,Creencia en un dios creador omnipotente. Tiene textos sagrados y tradiciones proféticas. Incluye períodos de ayuno y rituales de oración diarios. Esta es una religión que enfatiza el monoteísmo y las doctrinas estrictas.,Crença em um deus criador onipotente. Possui textos sagrados e tradições proféticas. Inclui períodos de jejum e rituais de oração diários. Esta é uma religião que enfatiza o monoteísmo e doutrinas rígidas.,전능한 창조신을 믿습니다. 성스러운 경전과 구전 전통이 있습니다. 금식 기간과 일일 기도 의식을 포함합니다. 이는 유일신 믿음과 엄격한 도덕 교육을 강조하는 종교입니다.,"Her şeye gücü yeten bir yaratıcı tanrıya inanç. Kutsal metinleri ve sözlü gelenekleri vardır. Oruç dönemleri ve günlük dua ritüelleri içerir. Bu, tek tanrı inancı ve katı ahlak öğretisini vurgulayan bir dindir."
SeraphicFaithDescription,崇拜多个自然神祇。庆祝季节性节日和丰收庆典。神职人员被视为自然力量的化身。这是一个与自然紧密相连的多神教信仰。,崇拜多個自然神祇。慶祝季節性節日和豐收慶典。神職人員被視為自然力量的化身。這是一個與自然緊密相連的多神教信仰。,Worship of multiple nature deities. Celebrates seasonal festivals and harvest celebrations. Clergy seen as embodiments of natural forces. This is a polytheistic faith closely connected to nature.,"Поклонение множеству природных божеств. Празднование сезонных фестивалей и праздников урожая. Духовенство рассматривается как воплощение природных сил. Это политеистическая вера, тесно связанная с природой.",Adoración de múltiples deidades de la naturaleza. Celebra festivales estacionales y celebraciones de cosecha. El clero es visto como encarnaciones de las fuerzas naturales. Esta es una fe politeísta estrechamente conectada con la naturaleza.,Adoração de múltiplas divindades da natureza. Celebra festivais sazonais e celebrações de colheita. Clero visto como encarnações de forças naturais. Esta é uma fé politeísta intimamente ligada à natureza.,"Verehrung mehrerer Naturgottheiten. Feiert jahreszeitliche Feste und Erntefeiern. Klerus wird als Verkörperung von Naturkräften gesehen. Dies ist ein polytheistischer Glaube, der eng mit der Natur verbunden ist.",複数の自然神を崇拝。季節の祭りと収穫祭を祝う。聖職者は自然の力の化身とみなされる。これは自然と密接に結びついた多神教の信仰である。,Culte de multiples divinités de la nature. Célèbre des festivals saisonniers et des célébrations de récolte. Le clergé est vu comme des incarnations des forces naturelles. C'est une foi polythéiste étroitement liée à la nature.,Kult wielu bóstw natury. Obchodzi święta sezonowe i uroczystości żniwne. Duchowieństwo postrzegane jako wcielenie sił natury. To politeistyczna wiara ściśle związana z naturą.,Adoración de múltiples deidades de la naturaleza. Celebra festivales estacionales y celebraciones de cosecha. El clero es visto como encarnaciones de las fuerzas naturales. Esta es una fe politeísta estrechamente conectada con la naturaleza.,Adoração de múltiplas divindades da natureza. Celebra festivais sazonais e celebrações de colheita. Clero visto como encarnações de forças naturais. Esta é uma fé politeísta intimamente ligada à natureza.,다수의 자연신을 숭배합니다. 계절 축제와 수확 축하 행사를 합니다. 성직자들은 자연의 힘의 화신으로 여겨집니다. 이는 자연과 밀접하게 연관된 다신교 신앙입니다.,"Çok sayıda doğa tanrısına tapınma. Mevsimsel festivaller ve hasat kutlamaları yapılır. Din adamları doğa güçlerinin tezahürü olarak görülür. Bu, doğayla yakından bağlantılı çok tanrılı bir inançtır."
RivendellFaithDescription,强调个人修养和冥想。追求内心平静和与自然和谐。寺庙常建在宁静的森林或山中。这是一种注重精神修行和自然和谐的哲学信仰。,強調個人修養和冥想。追求內心平靜和與自然和諧。寺廟常建在寧靜的森林或山中。這是一種注重精神修行和自然和諧的哲學信仰。,Emphasis on personal cultivation and meditation. Pursuit of inner peace and harmony with nature. Temples often built in serene forests or mountains. This is a philosophical faith focusing on spiritual practice and harmony with nature.,"Акцент на личном совершенствовании и медитации. Стремление к внутреннему миру и гармонии с природой. Храмы часто строятся в спокойных лесах или горах. Это философская вера, фокусирующаяся на духовной практике и гармонии с природой.",Énfasis en el cultivo personal y la meditación. Búsqueda de paz interior y armonía con la naturaleza. Templos a menudo construidos en bosques o montañas serenos. Esta es una fe filosófica que se centra en la práctica espiritual y la armonía con la naturaleza.,Ênfase no cultivo pessoal e na meditação. Busca pela paz interior e harmonia com a natureza. Templos frequentemente construídos em florestas serenas ou montanhas. Esta é uma fé filosófica focada na prática espiritual e na harmonia com a natureza.,"Betonung auf persönlicher Kultivierung und Meditation. Streben nach innerem Frieden und Harmonie mit der Natur. Tempel oft in ruhigen Wäldern oder Bergen gebaut. Dies ist ein philosophischer Glaube, der sich auf spirituelle Praxis und Harmonie mit der Natur konzentriert.",個人の修養と瞑想を重視。内なる平和と自然との調和を追求。寺院は静かな森や山によく建てられる。これは精神的な実践と自然との調和に焦点を当てた哲学的信仰である。,Accent mis sur le développement personnel et la méditation. Recherche de la paix intérieure et de l'harmonie avec la nature. Temples souvent construits dans des forêts ou des montagnes sereines. C'est une foi philosophique axée sur la pratique spirituelle et l'harmonie avec la nature.,Nacisk na osobisty rozwój i medytację. Dążenie do wewnętrznego spokoju i harmonii z naturą. Świątynie często budowane w spokojnych lasach lub górach. To filozoficzna wiara skupiająca się na praktyce duchowej i harmonii z naturą.,Énfasis en el cultivo personal y la meditación. Búsqueda de paz interior y armonía con la naturaleza. Templos a menudo construidos en bosques o montañas serenos. Esta es una fe filosófica que se centra en la práctica espiritual y la armonía con la naturaleza.,Ênfase no cultivo pessoal e na meditação. Busca pela paz interior e harmonia com a natureza. Templos frequentemente construídos em florestas serenas ou montanhas. Esta é uma fé filosófica focada na prática espiritual e na harmonia com a natureza.,"개인의 수양과 명상을 강조하며, 내면의 평화와 자연과의 조화를 추구합니다. 사원은 주로 조용한 숲이나 산속에 지어집니다. 이는 영적 수행과 자연과의 조화를 중시하는 철학적 신념입니다.","Bireysel gelişim ve meditasyona vurgu yapılır, iç huzur ve doğayla uyum aranır. Tapınaklar genellikle sessiz ormanlarda veya dağlarda inşa edilir. Bu, ruhani uygulamaları ve doğayla uyumu önemseyen felsefi bir inançtır."
