Key,Chinese,TraditionalChinese,English,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
ChristianityName,基督教,基督教,Christianity,Христианство,Cristianismo,Cristianismo,Christentum,キリスト教,Christianisme,Chrześcijaństwo,Cristianismo,Cristianismo,기독교,Hristiyanlık
ChristianityDescription,基于耶稣基督的生平和教导的一神教。信仰三位一体的上帝：圣父、圣子和圣灵。强调爱、宽恕和通过对耶稣的信仰获得救赎。,基於耶穌基督的生平和教導的一神教。信仰三位一體的上帝：聖父、聖子和聖靈。強調愛、寬恕和通過對耶穌的信仰獲得救贖。,"Monotheistic religion based on the life and teachings of Jesus Christ. Believes in one God in three persons: the Father, the Son, and the Holy Spirit. Emphasizes love, forgiveness, and salvation through faith in Jesus.","Монотеистическая религия, основанная на жизни и учении Иисуса Христа. Верит в единого Бога в трех лицах: Отца, Сына и Святого Духа. Подчеркивает любовь, прощение и спасение через веру в Иисуса.","Religión monoteísta basada en la vida y enseñanzas de Jesucristo. Cree en un solo Dios en tres personas: el Padre, el Hijo y el Espíritu Santo. Enfatiza el amor, el perdón y la salvación a través de la fe en Jesús.","Religião monoteísta baseada na vida e nos ensinamentos de Jesus Cristo. Acredita em um único Deus em três pessoas: o Pai, o Filho e o Espírito Santo. Enfatiza o amor, o perdão e a salvação através da fé em Jesus.","Monotheistische Religion basierend auf dem Leben und den Lehren Jesu Christi. Glaubt an einen Gott in drei Personen: den Vater, den Sohn und den Heiligen Geist. Betont Liebe, Vergebung und Erlösung durch den Glauben an Jesus.",イエス・キリストの生涯と教えに基づく一神教。父、子、聖霊の三位一体の神を信じる。イエスへの信仰を通じた愛、赦し、救いを強調する。,"Religion monothéiste basée sur la vie et les enseignements de Jésus-Christ. Croit en un seul Dieu en trois personnes : le Père, le Fils et le Saint-Esprit. Met l'accent sur l'amour, le pardon et le salut par la foi en Jésus.","Religia monoteistyczna oparta na życiu i naukach Jezusa Chrystusa. Wierzy w jednego Boga w trzech osobach: Ojca, Syna i Ducha Świętego. Podkreśla miłość, przebaczenie i zbawienie poprzez wiarę w Jezusa.","Religión monoteísta basada en la vida y enseñanzas de Jesucristo. Cree en un solo Dios en tres personas: el Padre, el Hijo y el Espíritu Santo. Enfatiza el amor, el perdón y la salvación a través de la fe en Jesús.","Religião monoteísta baseada na vida e nos ensinamentos de Jesus Cristo. Acredita em um único Deus em três pessoas: o Pai, o Filho e o Espírito Santo. Enfatiza o amor, o perdão e a salvação através da fé em Jesus.","예수 그리스도의 생애와 가르침에 기반한 종교. 성부, 성자, 성령의 삼위일체 하나님을 믿음. 사랑, 용서, 예수에 대한 믿음을 통한 구원을 강조.","İsa Mesih'in öğretilerine dayanan barışçıl bir din. Üçlü birlik halinde Tanrı'ya inanır: Baba, Oğul ve Kutsal Ruh. Sevgi, bağışlama ve İsa'ya olan inanç yoluyla kurtuluşu vurgular."
ChristianityHolyBookName,圣经,聖經,The Bible,Библия,La Biblia,A Bíblia,Die Bibel,聖書,La Bible,Biblia,La Biblia,A Bíblia,성경,İncil
ChristianityPractice1,祈祷,祈禱,Prayer,Молитва,Oración,Oração,Gebet,祈り,Prière,Modlitwa,Oración,Oração,기도,Dua
ChristianityPractice2,礼拜仪式,禮拜儀式,Worship services,Богослужения,Servicios de adoración,Serviços de adoração,Gottesdienste,礼拝,Services de culte,Nabożeństwa,Servicios de adoración,Serviços de adoração,예배 의식,Ritüeller
ChristianityPractice3,圣礼（如洗礼、圣餐）,聖禮（如洗禮、聖餐）,"Sacraments (e.g., Baptism, Communion)","Таинства (например, Крещение, Причастие)","Sacramentos (por ejemplo, Bautismo, Comunión)","Sacramentos (por exemplo, Batismo, Comunhão)","Sakramente (z.B. Taufe, Abendmahl)",秘跡（例：洗礼、聖餐）,"Sacrements (par exemple, Baptême, Communion)","Sakramenty (np. Chrzest, Komunia)","Sacramentos (por ejemplo, Bautismo, Comunión)","Sacramentos (por exemplo, Batismo, Comunhão)","성례 (세례, 성찬식 등)","Sakramentler (vaftiz, komünyon gibi)"
IslamName,伊斯兰教,伊斯蘭教,Islam,Ислам,Islam,Islã,Islam,イスラム教,Islam,Islam,Islam,Islão,이슬람교,İslam
IslamDescription,由先知穆罕默德创立的一神教。信仰独一的真主（安拉）和穆罕默德是他的最后使者。强调顺从真主的意志并遵循伊斯兰教的五大支柱。,由先知穆罕默德創立的一神教。信仰獨一的真主（安拉）和穆罕默德是他的最後使者。強調順從真主的意志並遵循伊斯蘭教的五大支柱。,Monotheistic religion founded by Prophet Muhammad. Believes in one God (Allah) and Muhammad as His final messenger. Emphasizes submission to God's will and following the Five Pillars of Islam.,"Монотеистическая религия, основанная пророком Мухаммедом. Верит в единого Бога (Аллаха) и Мухаммеда как Его последнего посланника. Подчеркивает подчинение воле Бога и следование Пяти столпам ислама.",Religión monoteísta fundada por el Profeta Muhammad. Cree en un solo Dios (Alá) y en Muhammad como Su último mensajero. Enfatiza la sumisión a la voluntad de Dios y el seguimiento de los Cinco Pilares del Islam.,Religião monoteísta fundada pelo Profeta Muhammad. Acredita em um único Deus (Alá) e em Muhammad como Seu último mensageiro. Enfatiza a submissão à vontade de Deus e o seguimento dos Cinco Pilares do Islã.,"Monotheistische Religion, gegründet von Prophet Muhammad. Glaubt an einen Gott (Allah) und Muhammad als Seinen letzten Gesandten. Betont die Unterwerfung unter Gottes Willen und die Befolgung der Fünf Säulen des Islam.",預言者ムハンマドによって創始された一神教。唯一の神（アッラー）とムハンマドを最後の使徒として信じる。神の意志への服従とイスラムの五行の実践を強調する。,Religion monothéiste fondée par le Prophète Muhammad. Croit en un seul Dieu (Allah) et en Muhammad comme Son dernier messager. Met l'accent sur la soumission à la volonté de Dieu et le respect des Cinq Piliers de l'Islam.,Religia monoteistyczna założona przez Proroka Mahometa. Wierzy w jednego Boga (Allaha) i Mahometa jako Jego ostatniego posłańca. Podkreśla poddanie się woli Boga i przestrzeganie Pięciu Filarów Islamu.,Religión monoteísta fundada por el Profeta Muhammad. Cree en un solo Dios (Alá) y en Muhammad como Su último mensajero. Enfatiza la sumisión a la voluntad de Dios y el seguimiento de los Cinco Pilares del Islam.,Religião monoteísta fundada pelo Profeta Muhammad. Acredita em um único Deus (Alá) e em Muhammad como Seu último mensageiro. Enfatiza a submissão à vontade de Deus e o seguimento dos Cinco Pilares do Islão.,예언자 무함마드가 창시한 종교. 유일신 알라를 믿고 무함마드를 그의 마지막 사도로 여김. 알라의 뜻에 순종하고 이슬람 5대 의무를 따르는 것을 강조.,Peygamber Muhammed tarafından kurulan monoteist din. Tek Tanrı'ya (Allah) ve Muhammed'in onun son elçisi olduğuna inanılır. Allah'ın iradesine itaat ve İslam'ın beş şartına uyma vurgulanır.
IslamHolyBookName,古兰经,古蘭經,The Quran,Коран,El Corán,O Alcorão,Der Koran,クルアーン,Le Coran,Koran,El Corán,O Alcorão,코란,Kur'an
IslamPractice1,每日五次祈祷（礼拜）,每日五次祈禱（禮拜）,Five daily prayers (Salah),Пять ежедневных молитв (Салах),Cinco oraciones diarias (Salah),Cinco orações diárias (Salah),Fünf tägliche Gebete (Salah),1日5回の礼拝（サラー）,Cinq prières quotidiennes (Salat),Pięć codziennych modlitw (Salah),Cinco oraciones diarias (Salah),Cinco orações diárias (Salah),하루 다섯 번 기도 (살라트),Günde beş vakit namaz
